Date,Open,High,Low,Close,Volume
2022-01-13,110.0,110.0,99.5,101.0,3232772
2022-01-16,102.0,102.5,94.5,95.0,439804
2022-01-17,96.0,96.0,91.0,91.5,665189
2022-01-18,92.0,93.0,91.0,91.5,347448
2022-01-19,91.5,93.0,90.5,90.5,270725
2022-01-20,91.0,92.5,90.0,90.5,284764
2022-01-23,90.5,92.5,90.0,90.5,225397
2022-01-24,90.5,92.5,89.0,91.0,221610
2022-01-25,91.0,91.0,88.5,88.5,119265
2022-01-26,88.5,89.5,88.0,88.5,76315
2022-01-27,88.5,89.0,86.5,88.0,123317
2022-01-30,87.5,89.0,86.0,86.5,71777
2022-01-31,86.5,87.5,85.0,85.5,84085
2022-02-01,86.0,87.5,85.5,87.0,49561
2022-02-02,87.0,90.5,86.5,89.0,105845
2022-02-03,88.5,90.5,88.0,89.0,577247
2022-02-06,88.5,90.0,87.5,88.5,41942
2022-02-07,88.0,90.0,88.0,88.0,67762
2022-02-08,88.0,89.5,88.0,88.5,31519
2022-02-09,87.0,90.0,87.0,88.5,64336
2022-02-10,89.0,89.5,88.0,89.0,41947
2022-02-13,88.0,89.0,88.0,89.0,32429
2022-02-14,88.5,89.0,88.5,89.0,40062
2022-02-15,89.0,89.5,88.5,89.5,52413
2022-02-16,89.0,90.0,89.0,89.5,24290
2022-02-17,89.5,89.5,88.0,88.5,31085
2022-02-20,88.5,89.0,88.0,88.5,28489
2022-02-22,88.0,89.0,88.0,88.0,581875
2022-02-23,88.0,89.0,88.0,88.0,25329
2022-02-24,87.5,90.0,87.5,89.5,122123
2022-02-27,87.0,89.5,87.0,88.5,84816
2022-02-28,87.5,88.5,87.0,87.5,12031
2022-03-01,88.0,88.5,87.5,88.0,23421
2022-03-02,88.5,88.5,87.5,88.0,60267
2022-03-03,88.0,88.5,87.5,88.0,29581
2022-03-06,87.0,87.5,87.0,87.5,17630
2022-03-07,87.0,87.5,86.5,87.0,69248
2022-03-08,87.0,88.5,86.0,88.0,51006
2022-03-09,87.5,88.0,87.0,87.0,54238
2022-03-10,87.0,88.0,87.0,88.0,54988
2022-03-13,88.0,89.0,88.0,88.5,25571
